,Period,Price,Production
3,1993-01-01,17.013412698412697,2375.0833333333335
4,1994-01-01,15.856388888888889,2685.3461666666667
5,1995-01-01,17.01584980237154,2892.1734166666665
6,1996-01-01,20.6398031496063,3223.473
7,1997-01-01,19.10850806451613,3263.4864166666666
8,1998-01-01,12.75810276679842,3124.4108333333334
9,1999-01-01,17.90156626506024,3121.6455833333334
10,2000-01-01,28.66067193675889,3330.3621666666663
11,2001-01-01,24.455719844357976,3402.2274166666666
12,2002-01-01,24.993254901960782,3322.5361666666668
13,2003-01-01,28.850813953488373,3252.8042499999997
14,2004-01-01,38.25969348659004,3189.070416666667
15,2005-01-01,54.57455252918288,2972.161083333333
16,2006-01-01,65.16176470588235,2782.282833333333
17,2007-01-01,72.44116,2561.052
18,2008-01-01,96.94434782608695,2463.2915
19,2009-01-01,61.73876984126984,2352.344
20,2010-01-01,79.60944444444445,2142.6664333333333
21,2011-01-01,111.26427419354839,2047.3742666666667
22,2012-01-01,111.62704,1922.0206333333335
23,2013-01-01,108.555,1841.3118000000002
24,2014-01-01,99.03486055776892,1892.9441
25,2015-01-01,52.24035019455253,1952.0042666666668
26,2016-01-01,43.638359375,1998.7947333333334
27,2017-01-01,54.1248046875,1975.0936291091666
28,2018-01-01,71.34377952755905,1858.28816853575
29,2019-01-01,64.33397683397683,1742.1230931515831
30,2020-01-01,41.95725490196079,2007.0231737793335
31,2021-01-01,70.85533596837945,2030.81161057572
32,2022-01-01,101.05116000000001,1906.6792010710917
33,2023-01-01,82.49172,2024.3083733125331
34,2024-01-01,80.45177865612648,2006.2561770501668
